iter	Passed	Remaining
0	140	140816
1	142	70951
2	143	47613
3	144	35917
4	145	28918
5	146	24243
6	147	20896
7	148	18388
8	149	16470
9	150	14938
10	153	13756
11	154	12693
12	155	11785
13	156	11007
14	157	10333
15	158	9738
16	159	9215
17	160	8751
18	161	8334
19	162	7960
20	163	7630
21	164	7322
22	166	7054
23	167	6808
24	168	6583
25	169	6362
26	170	6154
27	171	5963
28	172	5784
29	173	5617
30	174	5462
31	175	5315
32	177	5194
33	178	5066
34	179	4949
35	181	4856
36	182	4749
37	183	4646
38	184	4547
39	185	4453
40	186	4363
41	187	4278
42	188	4198
43	190	4129
44	191	4058
45	192	3988
46	193	3930
47	196	3893
48	197	3831
49	198	3769
50	199	3710
51	200	3654
52	201	3598
53	202	3546
54	203	3503
55	205	3460
56	206	3413
57	207	3368
58	208	3332
59	210	3297
60	211	3258
61	213	3224
62	214	3190
63	215	3157
64	216	3121
65	217	3084
66	218	3048
67	219	3015
68	220	2981
69	221	2949
70	224	2932
71	225	2906
72	226	2876
73	227	2847
74	228	2817
75	229	2790
76	230	2765
77	231	2738
78	232	2713
79	233	2687
80	234	2663
81	235	2639
82	236	2610
83	237	2591
84	239	2578
85	240	2557
86	241	2536
87	242	2515
88	243	2493
89	245	2477
90	246	2458
91	247	2438
92	248	2419
93	249	2400
94	250	2381
95	250	2363
96	252	2351
97	253	2337
98	255	2323
99	256	2307
100	257	2291
101	258	2276
102	259	2260
103	260	2245
104	261	2229
105	262	2214
106	263	2200
107	264	2186
108	265	2172
109	267	2166
110	268	2154
111	269	2140
112	271	2128
113	272	2115
114	273	2103
115	274	2090
116	275	2076
117	276	2063
118	277	2051
119	278	2039
120	279	2027
121	280	2015
122	281	2006
123	283	2001
124	284	1990
125	285	1982
126	286	1971
127	287	1961
128	289	1952
129	290	1943
130	291	1933
131	292	1922
132	293	1912
133	294	1903
134	296	1898
135	297	1891
136	298	1883
137	300	1878
138	302	1871
139	303	1862
140	304	1853
141	304	1842
142	305	1833
143	307	1825
144	308	1816
145	309	1807
146	311	1806
147	312	1801
148	314	1793
149	315	1787
150	316	1779
151	317	1771
152	318	1763
153	319	1755
154	320	1747
155	321	1739
156	322	1732
157	323	1724
158	326	1725
159	327	1721
160	328	1712
161	329	1705
162	330	1698
163	331	1691
164	332	1683
165	333	1677
166	334	1669
167	335	1662
168	336	1655
169	337	1649
170	339	1644
171	342	1646
172	343	1641
173	344	1635
174	345	1630
175	346	1624
176	348	1618
177	349	1612
178	350	1607
179	351	1601
180	352	1596
181	354	1594
182	356	1590
183	357	1584
184	358	1578
